attributeName,customDefinition,customDomain,customUnit
citation_short,,textDomain,
conductivity_mus,,,dimensionless
data_type,,enumeratedDomain,
disturbance_time_y,,,nominalYear
establishing_project_code,"Unique identifier for each project, formatted as OriginatorAbbreviation_ProjectScopeOrLocation_LastYearOfDataCollection.",textDomain,
funder ,,textDomain,
h_error_m,,,meter
horizon_order,,textDomain,
horizon_primary_code,Standardized alpha code used by the NRCS to denote master soil horizon designations.,,
horizon_secondary_code,Standardized alpha code used by the NRCS to denote master soil horizon designations.,,
horizon_suffix_1_code,Standardized alphanumeric suffix code as used by NRCS to denote subordinate distinctions or special features within a soil horizon layer.,,
horizon_suffix_2_code,Standardized alphanumeric suffix code as used by NRCS to denote subordinate distinctions or special features within a soil horizon layer.,,
horizon_suffix_3_code,Standardized alphanumeric suffix code as used by NRCS to denote subordinate distinctions or special features within a soil horizon layer.,,
horizon_suffix_4_code,Standardized alphanumeric suffix code as used by NRCS to denote subordinate distinctions or special features within a soil horizon layer.,,
latitude_dd,,,degree
longitude_dd,,,degree
manager,,textDomain,
matrix_hue_code,"Standard Munsell code that indicates the relation of soil color to red (R), yellow (Y), green (G), blue (B), and purple (P), or neutral (N).",,
missing_value_code,,enumeratedDomain,
nonmatrix_hue_code,"Standard Munsell code that indicates the relation of soil color to red (R), yellow (Y), green (G), blue (B), and purple (P), or neutral (N).",,
originator,,textDomain,
ph,,,dimensionless
plot_dimensions_m,,textDomain,
project_code,"Unique identifier for each project, formatted as OriginatorAbbreviation_ProjectScopeOrLocation_LastYearOfDataCollection.",textDomain,
schema_category,,enumeratedDomain,
shrub_subplot_area_m2,,,squareMeter
site_code,Unique alphanumeric identifier assigned to the site or plot in the project.,textDomain,
site_visit_code,Unique alphanumeric identifier assigned to the site or plot in the project with the addition of the visit date in yyyymmdd format.,textDomain,
standards_section,,textDomain,
temperature_deg_c,,,celsius
