Keyword,Thesaurus
EARTH SCIENCE > BIOSPHERE > VEGETATION > VEGETATION COVER,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > VEGETATION SPECIES,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > CANOPY STRUCTURE,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > DOMINANT SPECIES,GCMD
EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > TERRESTRIAL ECOSYSTEMS > ALPINE/TUNDRA,GCMD
EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > TERRESTRIAL ECOSYSTEMS > FORESTS > BOREAL FORESTS,GCMD
EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > WETLANDS,GCMD
EARTH SCIENCE > BIOSPHERE > ECOSYSTEMS > WETLANDS > PEATLANDS,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > EVERGREEN VEGETATION,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > DECIDUOUS VEGETATION,GCMD
EARTH SCIENCE > BIOSPHERE > VEGETATION > FOREST COMPOSITION/VEGETATION STRUCTURE,GCMD
Vascular Plants,None
Bryophytes (Mosses),None
Lichens,None
Alaska,None
Yukon Territory,None
Northwestern Canada,None
Arctic,None
Subarctic,None
